timestamp,route_id,stop_id
2025-01-01 11:20:25,216 KBS-BJP,20922
2025-01-01 09:02:59,HSS-5,36231
2025-01-01 08:07:50,SCS-7,36434
2025-01-01 07:55:08,210-KA KBS-PPLO,22404
2025-01-01 14:13:26,253-LB,22805
2025-01-01 14:15:07,399-E,21786
2025-01-01 15:24:14,360-B ATB-BOMC,22625
2025-01-01 13:28:28,SCS-6,36410
2025-01-01 07:12:31,271-T D45-JGA,33105
2025-01-01 07:53:56,245-M,30147
2025-01-01 13:10:38,VNS-7,36734
2025-01-01 12:17:51,226-N KRBL-BDD,21466
2025-01-01 12:20:50,288-C,20725
2025-01-01 11:01:12,KLN-DAMC,29395
2025-01-01 16:50:13,356-M,22595
2025-01-01 06:45:15,345-F,29837
2025-01-01 15:38:36,344-J,24165
2025-01-01 12:54:53,258-C KBS-SLR,34833
2025-01-01 06:41:05,263,21082
2025-01-01 15:39:29,401-RA CKP-YHKOT,21969
2025-01-01 07:18:57,MF-22HC,31136
2025-01-01 16:04:50,227-C,32035
2025-01-01 07:31:46,502-K,22264
2025-01-01 13:53:34,253-D,29506
2025-01-01 08:00:40,258 D43G-NMGRS,34139
2025-01-01 06:56:00,356-M,35163
2025-01-01 13:53:55,399-F ATB-D27G,24215
2025-01-01 08:28:33,D34-D34G,32430
2025-01-01 16:22:07,55-B KPA-CLO,22776
2025-01-01 17:49:41,248 D09G-CKB,39142
2025-01-01 14:47:24,217-D,35926
2025-01-01 15:29:53,218-A,20649
2025-01-01 16:08:16,226-K,21042
2025-01-01 16:30:56,13-E,21444
2025-01-01 10:12:22,366-X,35130
2025-01-01 10:46:35,ST BEN-9,36451
2025-01-01 16:52:15,356-M KBS-SNBS-ANK,20928
2025-01-01 11:13:42,328-HS,22441
2025-01-01 14:43:24,399-G,23971
2025-01-01 06:49:56,253-A,34177
2025-01-01 09:53:47,285 PTML-HNYR,32199
2025-01-01 11:00:58,409,33753
2025-01-01 13:17:37,KBS-1K KBS-HALM,20970
2025-01-01 09:12:35,317-MA,21232
2025-01-01 09:28:32,342-A,22392
2025-01-01 12:04:02,D6G-GBJCG,22021
2025-01-01 14:04:35,230-A,20661
2025-01-01 13:50:50,253-F KBS-KLD,20678
2025-01-01 10:53:51,36-F,26850
2025-01-01 10:25:02,258-KBS-D43G,34733
2025-01-01 07:52:50,KVASC-02,35737
2025-01-01 07:22:18,258-C KBS-NMGRS,21644
2025-01-01 11:34:16,SJBHS-04C,35928
2025-01-01 14:30:39,D44-TLSP,31499
2025-01-01 10:05:55,356 ANK-D38G,34911
2025-01-01 11:48:20,BCGHS-14,36598
2025-01-01 16:47:42,MF-1G,22621
2025-01-01 14:16:20,285-X,20727
2025-01-01 09:55:34,168-D KBS-SJWA,20725
2025-01-01 11:41:13,D52G-VVC,27209
2025-01-01 14:21:54,D12-BSN,35721
2025-01-01 14:20:32,225-CB,29870
2025-01-01 15:51:01,251-C,21189
2025-01-01 17:29:39,GGS-05,38932
2025-01-01 13:34:21,D12G-GEM,35721
2025-01-01 07:01:08,ARMY-SBS-KBS,35138
2025-01-01 14:21:10,V-335E,20956
2025-01-01 14:23:46,258-MA JKNH-KBS,20789
2025-01-01 17:20:01,329-E,21917
2025-01-01 06:38:54,MF-49 DSP-CMS,29439
2025-01-01 16:17:01,D34G-JSD-JAPC,24132
2025-01-01 09:40:50,500CH SJR-KRP,22497
2025-01-01 10:45:29,283-D PTML-KDGC,27578
2025-01-01 06:30:56,346-M KBS-GLH,20981
2025-01-01 06:51:43,89-C,20751
2025-01-01 06:36:40,501-CH,20923
2025-01-01 09:41:48,213-V SGH-HRH,23619
2025-01-01 06:11:40,60-A JJN-VJNT,33081
2025-01-01 12:56:02,283-B HBLB-KDGC,34626
2025-01-01 17:46:06,329-B,24205
2025-01-01 10:04:14,370-AA,21166
2025-01-01 12:43:31,348-C,21033
2025-01-01 17:08:01,211-G,23635
2025-01-01 07:58:36,211-P,22341
2025-01-01 10:05:32,245-MA,34935
2025-01-01 11:33:59,PTPL-3R,36537
2025-01-01 08:49:05,129,38026
2025-01-01 16:36:43,356-S,23094
2025-01-01 12:06:24,374-N D35G-TVK-NML,27411
2025-01-01 12:20:37,250-DA,20676
2025-01-01 06:06:47,600-C,21138
2025-01-01 13:59:41,285 PTH-JKLO,31633
2025-01-01 12:31:38,317-NG,32981
2025-01-01 17:07:09,258-DN,34013
2025-01-01 06:17:38,285-MC,33136
2025-01-01 07:16:28,254-D KBS-KMP,20562
2025-01-01 13:56:20,212-D,21232
2025-01-01 14:26:26,KBS-BCGHS,20922
2025-01-01 16:24:06,MF-5,22509
2025-01-01 15:36:18,290-S D45G-TDL-SBS,22600
2025-01-01 16:49:07,RTNP-WSPM,34232
2025-01-01 06:11:33,248-G MRTG-JHC-NMG,22367
2025-01-01 06:13:51,301-T KGN-RMB,31242
2025-01-01 10:33:12,323-AK,22578
2025-01-01 10:27:22,D39-HSKTTMC,32434
2025-01-01 14:08:38,306-M MDR-PURA,32761
2025-01-01 15:04:19,254-D KBS-KMP,20594
2025-01-01 13:07:01,355,22063
2025-01-01 08:31:37,369-K VSD-DLF,21195
2025-01-01 10:07:34,500-QD YBS-CSB,20569
2025-01-01 14:56:18,242-B KBS-D35G,38801
2025-01-01 09:43:33,380 SBS-MVJ,23219
2025-01-01 13:47:50,266-C KKL-KBS,28214
2025-01-01 06:16:15,297-M,28143
2025-01-01 11:24:45,238-C,20976
2025-01-01 15:26:34,HSS-12,36670
2025-01-01 10:47:43,335-E KBS-HAL NP,20970
2025-01-01 09:11:51,BC-3A,23891
2025-01-01 06:36:49,500-A ISROM-HBL-MTK-YBS,21228
2025-01-01 15:14:51,HSS-06,36231
2025-01-01 12:38:13,316-M,25730
2025-01-01 15:22:29,314-H MLP-SMH,21922
2025-01-01 11:20:36,293-A,21854
2025-01-01 06:46:31,BCGHS-11,36206
2025-01-01 11:14:40,CALL BUS-8,20603
2025-01-01 13:02:25,303 BEMLG-BSW,28090
2025-01-01 06:29:36,304-M,21229
2025-01-01 06:55:02,242-Z,21455
2025-01-01 14:04:10,218 KBS-STBTS,21580
2025-01-01 06:12:22,500-CH HSS-BTP,20978
2025-01-01 11:14:57,351-H KMT-IGNOUS,22929
2025-01-01 08:10:58,302-D,21232
2025-01-01 17:24:03,304-N,22448
2025-01-01 12:32:08,D6G-DMLMDA,20969
2025-01-01 17:03:58,256-MA,21774
2025-01-01 11:19:14,328-H D41G-HSS,25815
2025-01-01 13:19:41,36-B,20981
2025-01-01 09:13:02,201 SRN-VVKN,23679
2025-01-01 15:12:30,245-D,29797
2025-01-01 11:21:05,D7-KBS,20921
2025-01-01 06:30:10,KIA-14,23147
2025-01-01 10:15:16,K-2B,20666
2025-01-01 12:24:00,304-VB,22037
2025-01-01 12:15:25,289-F,22455
2025-01-01 10:18:07,354-A,22018
2025-01-01 13:44:24,356-CW,20772
2025-01-01 12:11:17,317-N,26220
2025-01-01 13:49:26,344-C,23806
2025-01-01 12:52:56,300 SBS-CWL,22082
2025-01-01 12:29:32,HSS-4,38953
2025-01-01 14:18:31,356 ANK-D38G,23094
2025-01-01 11:51:16,D11-PTH,34299
2025-01-01 07:58:04,365 D34G-BNP,35230
2025-01-01 08:02:10,PTH-JLOW,30473
2025-01-01 07:00:46,BTP-5,36643
2025-01-01 09:46:55,224-A KBS-VRS,35403
2025-01-01 17:28:36,316-F,20671
2025-01-01 06:28:16,340-K,20642
2025-01-01 14:29:17,211-RA,32180
2025-01-01 07:49:32,304-M,20805
2025-01-01 14:28:36,343-K,20642
2025-01-01 08:39:30,372-E,22760
2025-01-01 09:09:49,298-M DVH-VSD-KBS,35729
2025-01-01 13:26:48,298-MG YHKOT-SNH,34897
2025-01-01 07:50:19,263-E,21212
2025-01-01 09:33:26,500-CK,20959
2025-01-01 14:39:29,KLRH-PTML,34666
2025-01-01 17:23:49,245-F,20936
2025-01-01 14:32:30,KBS-CCC,22698
2025-01-01 06:36:09,302-K KLN-KCNS,26756
2025-01-01 06:54:34,BRGD-KVASC,22697
2025-01-01 15:54:08,515 JHC-KGR-D12G,35721
2025-01-01 11:53:10,D52G-VVC,34887
2025-01-01 09:11:06,KVS-SBS,31011
2025-01-01 13:43:08,285 SBS-MKC-MADT,35376
2025-01-01 15:37:23,315 SNBS-KRPGH,20863
2025-01-01 14:19:17,D09G-ISROOJ,39142
2025-01-01 08:56:56,MF-17,33177
2025-01-01 14:39:34,245-F,32222
